Modern Gameplay Compact,Modern Gameplay Compact
Treaty of the Northern Folk,Balder
Sacagawea Alliance Mk. II,Equilism
Treaty of the Northern Passage,Europe
Treaty of Friendship between The North Pacific and Europeia,Europeia
Treaty of the Golden Star,Greater Dienstad
International Democratic Union Security Treaty,International Democratic Union
Treaty of Hänau Hou,Lazarus
Stargate Security Treaty,Stargate
The Taijitu-North Pacific Alliance,Taijitu
The North-East Pacific Security Treaty,The East Pacific
The Unicorn Star Treaty,The Rejected Realms
World Assembly Legislative League,World Assembly Legislative League
